ID,English,Japanese,Chinese,German,Spanish,Russian,Korean,Arabic
7000,Crimson Amber Medallion +3,緋琥珀のメダリオン＋３,红琥珀链坠＋３,Purpurbernstein-Medaillon +3,Medallón de ámbar carmesí +3,Медальон с багровым янтарём +3,붉은 호박 메달리온+3,ﻣﻳﺩاﻟﻳﺔ اﻟﻛﻬﺭﻣﺎن اﻟﻘﺭﻣﺯي +3
7010,Cerulean Amber Medallion +3,青琥珀のメダリオン＋３,蓝琥珀链坠＋３,Himmelsbernstein-Medaillon +3,Medallón de ámbar cerúleo +3,Медальон с лазурным янтарём +3,푸른 호박 메달리온+3,ﻣﻳﺩاﻟﻳﺔ اﻟﻛﻬﺭﻣﺎن اﻟﻼزوردي +3
7020,Viridian Amber Medallion +3,緑琥珀のメダリオン＋３,绿琥珀链坠＋３,Smaragdbernstein-Medaillon +3,Medallón de ámbar viridián +3,Медальон с зелёным янтарём +3,녹색 호박 메달리온+3,ﻣﻳﺩاﻟﻳﺔ اﻟﻛﻬﺭﻣﺎن اﻷﺧﺿﺭ +3
7030,Two-Headed Turtle Talisman,双頭亀のタリスマン,双首龟护符,Zweiköpfiger Schildkrötentalisman,Talismán de la tortuga de dos cabezas,Талисман с Двуглавой черепахой,쌍두 거북 탈리스만,ﻁﻠﺳﻡ اﻟﺳﻠﺣﻔﺎة ذات اﻟﺭأﺳﻳﻥ
7040,Stalwart Horn Charm +2,頑健の角飾り＋２,健壮角饰品＋２,Horntalisman der Tapferen +2,Colgante de cuerno leal +2,Амулет из крепкого рога +2,강건의 뿔 장식+2,ﺗﻣﻳﻣﺔ اﻟﻘﺭن اﻟﻘﻭي +2
7050,Immunizing Horn Charm +2,免疫の角飾り＋２,免疫角饰品＋２,Horntalisman der Immunität +2,Colgante de cuerno inmunizante +2,Амулет из защитного рога +2,면역의 뿔 장식+2,ﺗﻣﻳﻣﺔ اﻟﻘﺭن اﻟﻣﺣﺻّﻥ +2
7060,Clarifying Horn Charm +2,正気の角飾り＋２,理智角饰品＋２,Horntalisman der Klarheit +2,Colgante de cuerno esclarecedor +2,Амулет из просветляющего рога +2,이성의 뿔 장식+2,ﺗﻣﻳﻣﺔ اﻟﻘﺭن اﻟﻣﻁﻬﺭ +2
7080,Mottled Necklace +2,斑色の首飾り＋２,斑斓项链＋２,Gesprenkelte Halskette +2,Collar jaspeado +2,Пёстрое ожерелье +2,얼룩색 목걸이+2,اﻟﻌﻘﺩ اﻟﻣﻠﻭن +2
7090,Spelldrake Talisman +3,魔力竜印のタリスマン＋３,魔力龙徽护符＋３,Zauberdrachentalisman +3,Talismán de draco mágico +3,Талисман волшебного дракона +3,마력 용 표식의 탈리스만+3,ﻁﻠﺳﻡ اﻟﺗﻧﻳﻥ اﻟﺳﺣﺭي +3
7100,Flamedrake Talisman +3,炎竜印のタリスマン＋３,火龙徽护符＋３,Flammendrachentalisman +3,Talismán de draco de fuego +3,Талисман огненного дракона +3,염룡 표식의 탈리스만+3,ﻁﻠﺳﻡ اﻟﺗﻧﻳﻥ اﻟﻧﺎري +3
7110,Boltdrake Talisman +3,雷竜印のタリスマン＋３,雷龙徽护符＋３,Blitzdrachentalisman +3,Talismán de draco de rayo +3,Талисман грозового дракона +3,뇌룡 표식의 탈리스만+3,ﻁﻠﺳﻡ ﺗﻧﻳﻥ اﻟﺑﺭق +3
7120,Golden Braid,黄金の編み髪,金黄色编发,Goldener Zopf,Trenza dorada,Золотая коса,황금의 땋은 머리카락,ﺟﺩﻳﻠﺔ ذﻫﺑﻳﺔ
7130,Pearldrake Talisman +3,真珠竜印のタリスマン＋３,珍珠龙徽护符＋３,Perldrachentalisman +3,Talismán de draco de perlas +3,Талисман жемчужного дракона +3,진주룡 표식의 탈리스만+3,ﻁﻠﺳﻡ اﻟﺗﻧﻳﻥ اﻟﻠﺅﻟﺅي +3
7140,Crimson Seed Talisman +1,緋色種子のタリスマン＋１,红种子护符＋１,Purpursamentalisman +1,Talismán de semilla carmesí +1,Талисман с кровавыми семенами +1,붉은 종자의 탈리스만+1,ﻁﻠﺳﻡ اﻟﺑﺫرة اﻟﻘﺭﻣﺯﻳﺔ +1
7150,Cerulean Seed Talisman +1,青色種子のタリスマン＋１,蓝种子护符＋１,Himmelssamentalisman +1,Talismán de semilla cerúlea +1,Талисман с лазурными семенами +1,푸른 종자의 탈리스만+1,ﻁﻠﺳﻡ اﻟﺑﺫرة اﻟﻼزوردﻳﺔ +1
8000,Blessed Blue Dew Talisman,恵みの青雫のタリスマン,恩惠蓝露滴护符,Gesegneter blauer Tautalisman,Talismán de rocío azul bendito,Талисман с синей благословенной росой,은혜의 푸른 물방울 탈리스만,ﻁﻠﺳﻡ اﻟﺩﻣﻌﺔ اﻟﺯرﻗﺎء اﻟﻣﺑﺎرﻛﺔ
8010,Fine Crucible Feather Talisman,坩堝薄羽のタリスマン,熔炉薄翼护符,Feiner Schmelztiegel-Federtalisman,Talismán fino de plumas del Crisol,Изящный перьевой талисман Горнила,도가니 날개의 탈리스만,ﻁﻠﺳﻡ رﻳﺵ اﻟﺑﻭﺗﻘﺔ اﻟﻧﺎﻋﻡ
8020,Outer God Heirloom,外なる神の伝承,外在神祇的传说,Erbe der fremden Gottheit,Reliquia del dios exterior,Реликвия внешнего бога,외부의 신 전승,إرث اﻟﺣﺎﻛﻡ اﻟﺧﺎرﺟﻲ
8030,Shattered Stone Talisman,割れ石のタリスマン,裂石护符,Zerschmetterter Steintalisman,Talismán de piedra destruido,Талисман в форме расколотого камня,깨진 돌의 탈리스만,ﺗﻣﻳﻣﺔ اﻟﺣﺟﺭ اﻟﻣﺣﻁﻡ
8040,Two-Handed Sword Talisman,両手剣のタリスマン,双手剑护符,Zweihandschwerttalisman,Talismán de espada a dos manos,Талисман Двуручного меча,양손검의 탈리스만,ﻁﻠﺳﻡ ﺳﻳﻑ ﻛﻠﺗﺎ اﻟﻳﺩﻳﻥ
8050,Crusade Insignia,聖戦の徽章,圣战徽章,Kreuzzug-Insignie,Insignia de la cruzada,Эмблема священного похода,성전의 휘장,ﺷﻌﺎر اﻟﺻﻠﻳﺏ
8060,Aged One's Exultation,翁の歓喜,老翁的欢愉,Frohlocken des Älteren,Júbilo del anciano,Ликование старца,노인의 환희,اﺑﺗﻬﺎج اﻟﻣﺳﻥ
8070,Arrow's Soaring Sting Talisman,遠硬矢のタリスマン,远硬箭护符,Segelnder Durchschuss-Talisman,Talismán de pinchazo de flecha elevado,Талисман разящего наконечника,먼 튼튼한 화살의 탈리스만,ﻁﻠﺳﻡ اﻟﺳﻬﻡ اﻟﻣﺭﺗﻔﻊ اﻟﻭاﺧﺯ
8090,Pearl Shield Talisman,真珠盾のタリスマン,珍珠盾护符,Perlenschildtalisman,Talismán de escudo nacarado,Талисман жемчужного щита,진주 방패의 탈리스만,ﻁﻠﺳﻡ درع اﻟﻠﺅﻟﺅ
8100,Dried Bouquet,乾いた花束,干枯花束,Getrockneter Blumenstrauß,Ramo seco,Засохший букет,마른 꽃다발,ﺑﺎﻗﺔ ﻣﺟﻔﻔﺔ
8110,Smithing Talisman,鍛冶術のタリスマン,锻造术护符,Schmiedetalisman,Talismán de herrería,Талисман кузнеца,단조술의 탈리스만,ﻁﻠﺳﻡ اﻟﺣﺩادة
8120,Ailment Talisman,病のタリスマン,疾病护符,Leidtalisman,Talismán de aflicciones,Талисман от недугов,병의 탈리스만,ﻁﻠﺳﻡ اﻟﻌﻠﺔ
8130,Retaliatory Crossed-Tree,切り返す交差樹,回击交错树,Vergeltende Verflechtung,Árbol cruzado de represalia,Скрещённые стволы мести,되받아 치는 교차수,ﺷﺟﺭة ﻣﺗﺷﺎﺑﻛﺔ اﻧﺗﻘﺎﻣﻳﺔ
8140,Lacerating Crossed-Tree,刺し貫く交差樹,贯刺交错树,Zerfleischende Verflechtung,Árbol cruzado de laceración,Скрещённые стволы расправы,꿰뚫는 교차수,ﺷﺟﺭة ﻣﺗﺷﺎﺑﻛﺔ ﻣﺅذﻳﺔ
8150,Sharpshot Talisman,狙いすます弓のタリスマン,狙击弓护符,Scharfschützentalisman,Talismán de tiro preciso,Талисман меткости,조준하는 활의 탈리스만,ﻁﻠﺳﻡ اﻟﺿﺭﺑﺔ اﻟﺣﺎدة
8160,St. Trina's Smile,トリーナの微笑,托莉娜的微笑,St. Trinas Lächeln,Sonrisa de Santa Trina,Улыбка святой Трины,트리나의 미소,اﺑﺗﺳﺎﻣﺔ اﻟﻘﺩﻳﺳﺔ ﺗﺭﻳﻧﺎ
8170,Talisman of the Dread,暴竜のタリスマン,狂龙护符,Talisman der Furcht,Talismán del Temible,Талисман Бейла Ужасного,폭룡의 탈리스만,ﻁﻠﺳﻡ اﻟﻭﺣﺵ اﻟﻣﺧﻳﻑ
