ID,English,Chinese,German,Arabic
20000,Tower Settlement,“塔之镇”贝瑞特,Belurat,ﺑﻳﻠﻭرات، ﻣﺳﺗﻭﻁﻧﺔ اﻟﺑﺭج
20010,Enir-Ilim,艾尼尔·伊利姆,Enir-Ilim,إﻧﻳﺭ إﻳﻠﻳﻡ
21000,Shadow Keep,幽影城,Schattenbergfried,ﺣﺻﻥ اﻟﻅﻝ
21001,Church District,幽影城（教區）,Schattenbergfried,ﺣﺻﻥ اﻟﻅﻝ، ﺣﻲ اﻟﻛﻧﻳﺳﺔ
21010,Specimen Storehouse,物种保藏库,Probenlager,ﻣﺧﺯن اﻟﻌﻳﻧﺎت
22000,Stone Coffin Fissure,石棺大洞,Riss im Steinsarg,ﺻﺩع اﻟﺗﺎﺑﻭت اﻟﺣﺟﺭي
28000,Midra's Manse,米德拉府邸,Midras Pfarrhaus,ﻗﺻﺭ ﻣﺩرا
40000,Fog Rift Catacombs,雾谷地下墓地,Nebelriss-Katakomben,ﺳﺭادﻳﺏ ﺻﺩع اﻟﺿﺑﺎب
40010,Scorpion River Catacombs,蝎河地下墓地,Katakomben am Skorpionsfluss,ﺳﺭادﻳﺏ ﻧﻬﺭ اﻟﻌﻘﺭب
40020,Darklight Catacombs,驱暗地下墓地,Dunkellichtkatakomben,ﺳﺭادﻳﺏ اﻟﻧﻭر اﻟﻣﻅﻠﻡ
41000,Belurat Gaol,贝瑞特监牢,Kerker von Belurat,ﺳﺟﻥ ﺑﻳﻠﻭرات
41010,Bonny Gaol,波尼监牢,Kerker von Bonny,ﺳﺟﻥ ﺑﻭﻧﻲ
41020,Lamenter's Gaol,喟叹监牢,Kerker des Klägers,ﺳﺟﻥ ﻻﻣﻳﻧﺗﺭ
42000,Ruined Forge Lava Intake,,Lavazulauf der ruinierten Schmiede,ﻣﺩﺧﻝ اﻟﺣﻣﻡ ﻷﻧﻘﺎض اﻟﻣﺻﻬﺭ
42020,Ruined Forge of Starfall Past,古铁陨石锻造遗迹,Ruinierte Sternfallschmiede,أﻧﻘﺎض اﻟﻣﺻﻬﺭ ﻟﻣﺎﺿﻲ اﻟﻧﻳﺯك
42030,Taylew's Ruined Forge,泰乌尔锻造遗迹,Ruinierte Schmiede von Taylew,أﻧﻘﺎض ﻣﺻﻬﺭ ﺗﺎﻳﻠﻭ
43000,Rivermouth Cave,河尾洞窟,Höhle an der Flussmündung,ﻛﻬﻑ ﻣﺻﺏ اﻟﻧﻬﺭ
43010,Dragon's Pit,龙洞,Drachengrube,ﺣﻔﺭة اﻟﺗﻧﻳﻥ
68000,Gravesite Plain,墓地平原,Grabfeld-Ebene,ﺳﻬﻝ اﻟﻣﻘﺑﺭة
68200,Castle Ensis,恩希斯城,Schloss Ensis,ﻗﻠﻌﺔ إﻧﺳﻳﺱ
68300,Cerulean Coast,青蓝海岸,Himmelblaues Ufer,اﻟﺳﺎﺣﻝ اﻟﻼزوردي
68400,Charo's Hidden Grave,卡罗隐藏墓地,Charos verstecktes Grab,ﻣﻘﺑﺭة ﺗﺷﺎرو اﻟﺧﻔﻳﺔ
68500,Jagged Peak,尖刺山,Klingengipfel,اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
68501,Foot of the Jagged Peak,尖刺山的山脚,Fuß des Klingengipfels,ﺳﻔﺢ اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
68600,Abyssal Woods,谷底森林,Abgrundwald,اﻟﻐﺎﺑﺔ اﻟﺳﺣﻳﻘﺔ
69000,Scadu Altus,幽影亚坛,Scadu Altus,ﺳﻛﺎدو أﻟﺗﻭس
69001,Rauh Base,劳弗下方,Fuß von Rauh,ﻗﺎﻋﺩة راوه
69200,Scaduview,望影露台,Aussicht von Scadu,إﻁﻼﻟﺔ ﺳﻛﺎدو
69400,Ancient Ruins of Rauh,劳弗古遗迹,Uralte Ruinen von Rauh,أﻧﻘﺎض راوه اﻟﻌﺗﻳﻘﺔ
200000,Theatre of the Divine Beast,神兽舞台,Theater der göttlichen Bestie,ﻣﺳﺭح اﻟﻭﺣﺵ اﻟﺳﻣﺎوي
200001,Tower Settlement,“塔之镇”贝瑞特,Belurat,ﺑﻳﻠﻭرات، ﻣﺳﺗﻭﻁﻧﺔ اﻟﺑﺭج
200002,Small Private Altar,民宅小祭坛,Kleiner privater Altar,ﻣﺫﺑﺢ ﺻﻐﻳﺭ ﺧﺎص
200003,Stagefront,舞台前方,Vorderseite der Bühne,واﺟﻬﺔ اﻟﻣﺳﺭح
200100,Gate of Divinity,神之门,Tor der Göttlichkeit,اﻟﺑﻭاﺑﺔ اﻟﺳﻣﺎوﻳﺔ
200102,Enir-Ilim: Outer Wall,,Enir-Ilim – Innenwall,إﻧﻳﺭ إﻳﻠﻳﻡ: اﻟﺳﻭر اﻟﺧﺎرﺟﻲ
200103,First Rise,第一塔,Erster Turm,اﻟﻘﻣﺔ اﻷوﻟﻰ
200104,Spiral Rise,螺旋塔,Spiralturm,اﻟﻘﻣﺔ اﻟﺣﻠﺯوﻧﻳﺔ
200105,Cleansing Chamber Anteroom,,Vorraum der Reinigungskammer,ﻣﻧﻁﻘﺔ اﻧﺗﻅﺎر ﻏﺭﻓﺔ اﻟﺗﻁﻬﻳﺭ
200106,Divine Gate Front Staircase,神之门（门前楼梯平台）,Vordertreppe am göttlichen Portal,اﻟﺩرج اﻷﻣﺎﻣﻲ ﻟﻠﺑﻭاﺑﺔ اﻟﺳﻣﺎوﻳﺔ
210001,Main Gate Plaza,正门广场,Platz am Haupttor,ﺳﺎﺣﺔ اﻟﺑﻭاﺑﺔ اﻟﺭﺋﻳﺳﻳﺔ
210002,,幽影城（正门）,Schattenbergfried,ﺑﻭاﺑﺔ ﺣﺻﻥ اﻟﻅﻝ اﻟﺭﺋﻳﺳﻳﺔ
210006,Eingang,,Kirchenbezirk,ﻣﺩﺧﻝ ﻣﻧﻁﻘﺔ اﻟﻛﻧﻳﺳﺔ
210007,Sunken Chapel,沉水礼拜堂,Versunkene Kapelle,اﻟﻛﻧﻳﺳﺔ اﻟﻐﺎرﻗﺔ
210008,Tree-Worship Passage,礼树暗道,Passage zum Baumkult,ﻣﻣﺭ اﺗّﺑﺎع اﻟﺷﺟﺭة
210009,Tree-Worship Sanctum,礼树教堂,Refugium des Baumkults,ﻣﺣﺭاب اﺗّﺑﺎع اﻟﺷﺟﺭة
210100,Messmer's Dark Chamber,梅瑟莫的暗室,Messmers dunkle Kammer,ﻏﺭﻓﺔ ﻣﻳﺳﻣﺭ اﻟﻣﻅﻠﻣﺔ
