ID,English,Japanese,Chinese,German,Spanish,Russian,Korean,Arabic
1500000,Main-gauche,マンゴーシュ,左手匕首,Linkshanddolch,Daga zurda,Кинжал для левой руки,맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي
1500100,Heavy Main-gauche,重厚なマンゴーシュ,厚重左手匕首,Schwerer Linkshanddolch,Daga zurda pesada,Тяжёлый кинжал для левой руки,중후한 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺛﻘﻳﻝ
1500200,Keen Main-gauche,鋭利なマンゴーシュ,锋利左手匕首,Solider Linkshanddolch,Daga zurda afilada,Острый кинжал для левой руки,예리한 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺑﺎﺗﺭ
1500300,Quality Main-gauche,上質なマンゴーシュ,优质左手匕首,Wertiger Linkshanddolch,Daga zurda de calidad,Качественный кинжал для левой руки,상질의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﻣﻣﻳﺯ
1500400,Fire Main-gauche,炎のマンゴーシュ,火焰左手匕首,Feuriger Linkshanddolch,Daga zurda de fuego,Огненный кинжал для левой руки,화염의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﻧﺎري
1500500,Flame Art Main-gauche,炎術のマンゴーシュ,焰术左手匕首,Flammender Linkshanddolch,Daga zurda de arte de llama,Пылающий кинжал для левой руки,화염술의 맹고슈,ﺧﻧﺟﺭ أﺳﻠﻭب ﻟﻬﺏ اﻟﺗﻔﺎدي
1500600,Lightning Main-gauche,雷のマンゴーシュ,雷电左手匕首,Blitzender Linkshanddolch,Daga zurda de rayo,Громовой кинжал для левой руки,벼락의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺑﺭﻗﻲ
1500700,Sacred Main-gauche,神聖なマンゴーシュ,神圣左手匕首,Heiliger Linkshanddolch,Daga zurda sagrada,Священный кинжал для левой руки,신성한 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﻣﻘﺩس
1500800,Magic Main-gauche,魔力のマンゴーシュ,魔力左手匕首,Magischer Linkshanddolch,Daga zurda mágica,Зачарованный кинжал для левой руки,마력의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺳﺣﺭي
1500900,Cold Main-gauche,冷たいマンゴーシュ,寒冷左手匕首,Eisiger Linkshanddolch,Daga zurda fría,Морозный кинжал для левой руки,차가운 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺑﺎرد
1501000,Poison Main-gauche,毒のマンゴーシュ,毒左手匕首,Giftiger Linkshanddolch,Daga zurda venenosa,Отравленный кинжал для левой руки,독의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺳﺎم
1501100,Blood Main-gauche,血のマンゴーシュ,血左手匕首,Blutiger Linkshanddolch,Daga zurda de sangre,Кровавый кинжал для левой руки,피의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﺩﻣﻭي
1501200,Occult Main-gauche,神秘のマンゴーシュ,神秘左手匕首,Okkulter Linkshanddolch,Daga zurda oculta,Оккультный кинжал для левой руки,신비의 맹고슈,ﺧﻧﺟﺭ اﻟﺗﻔﺎدي اﻟﻐﺎﻣﺽ
1510000,Fire Knight's Shortsword,火の騎士の短剣,火焰骑士短剑,Dolch der Feuerritter,Daga de caballero ígneo,Гладиус Огненного рыцаря,불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ
1510100,Fire Knight's Heavy Shortsword,重厚な火の騎士短剣,厚重火焰骑士短剑,Schwerer Dolch der Feuerritter,Daga de caballero ígneo pesada,Тяжёлый гладиус Огненного рыцаря,중후한 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺛﻘﻳﻝ
1510200,Fire Knight's Keen Shortsword,鋭利な火の騎士短剣,锋利火焰骑士短剑,Solider Dolch der Feuerritter,Daga de caballero ígneo afilada,Острый гладиус Огненного рыцаря,예리한 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺑﺎﺗﺭ
1510300,Fire Knight's Quality Shortsword,上質な火の騎士短剣,优质火焰骑士短剑,Wertiger Dolch der Feuerritter,Daga de caballero ígneo de calidad,Качественный гладиус Огненного рыцаря,상질의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﻣﻣﻳﺯ
1510400,Fire Knight's Fire Shortsword,炎の火の騎士短剣,火焰火焰骑士短剑,Feuriger Dolch der Feuerritter,Daga de caballero ígneo de fuego,Огненный гладиус Огненного рыцаря,화염의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﻧﺎري
1510500,Fire Knight's Flame Art Shortsword,炎術の火の騎士短剣,焰术火焰骑士短剑,Flammender Dolch der Feuerritter,Daga de caballero ígneo de arte de llama,Пылающий гладиус Огненного рыцаря,화염술의 불의 기사 단검,ﺳﻳﻑ أﺳﻠﻭب ﻟﻬﺏ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ
1510600,Fire Knight's Lightning Shortsword,雷の火の騎士短剣,雷电火焰骑士短剑,Blitzender Dolch der Feuerritter,Daga de caballero ígneo de rayo,Громовой гладиус Огненного рыцаря,벼락의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺑﺭﻗﻲ
1510700,Fire Knight's Sacred Shortsword,神聖な火の騎士短剣,神圣火焰骑士短剑,Heiliger Dolch der Feuerritter,Daga de caballero ígneo sagrada,Священный гладиус Огненного рыцаря,신성한 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﻣﻘﺩس
1510800,Fire Knight's Magic Shortsword,魔力の火の騎士短剣,魔力火焰骑士短剑,Magischer Dolch der Feuerritter,Daga de caballero ígneo mágica,Зачарованный гладиус Огненного рыцаря,마력의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺳﺣﺭي
1510900,Fire Knight's Cold Shortsword,冷たい火の騎士短剣,寒冷火焰骑士短剑,Eisiger Dolch der Feuerritter,Daga de caballero ígneo fría,Морозный гладиус Огненного рыцаря,차가운 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺑﺎرد
1511000,Fire Knight's Poison Shortsword,毒の火の騎士短剣,毒火焰骑士短剑,Giftiger Dolch der Feuerritter,Daga de caballero ígneo venenosa,Отравленный гладиус Огненного рыцаря,독의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺳﺎم
1511100,Fire Knight's Blood Shortsword,血の火の騎士短剣,血火焰骑士短剑,Blutiger Dolch der Feuerritter,Daga de caballero ígneo de sangre,Кров. гладиус Огн. рыцаря,피의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﺩﻣﻭي
1511200,Fire Knight's Occult Shortsword,神秘の火の騎士短剣,神秘火焰骑士短剑,Okkulter Dolch der Feuerritter,Daga de caballero ígneo oculta,Оккультный гладиус Огненного рыцаря,신비의 불의 기사 단검,ﺳﻳﻑ ﻓﺎرس اﻟﻧﺎر اﻟﻘﺻﻳﺭ اﻟﻐﺎﻣﺽ
2510000,Velvet Sword of St. Trina,トリーナの昏剣,托莉娜暗剑,Purpurnes Schwert von St. Trina,Espada purpúrea de Santa Trina,Фиолетовый меч святой Трины,트리나의 보랏빛 검,ﺳﻳﻑ اﻟﻘﺩﻳﺳﺔ ﺗﺭﻳﻧﺎ اﻷرﺟﻭاﻧﻲ
2520000,Star-Lined Sword,連星剣,连星剑,Sternbildschwert,Espada de estrellas alineadas,Меч Танцующих Звёзд,연성검,اﻟﺳﻳﻑ اﻟﻣﺣﺎط ﺑﺎﻟﻧﺟﻭم
2530000,Carian Sorcery Sword,カーリアの魔術剣,卡利亚魔法剑,Caria-Zauberschwert,Espada de hechicería de Caria,Волшебный Карианский меч,카리아의 마술검,ﺳﻳﻑ ﺳﺣﺭ ﻛﺎرﻳﺎ
2540000,Stone-Sheathed Sword,石鞘の剣,石鞘剑,Steinummanteltes Schwert,Espada de vaina de piedra,Меч в каменных ножнах,돌칼집의 검,ﺳﻳﻑ اﻟﻐﻣﺩ اﻟﺣﺟﺭي
