ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean),
4000,Glintstone Pebble,グリントストーンの小石,闪光石卵石,글린트스톤 조약돌,Глинтстоун Галька,Glintstone-Kiesel,Galet de pierre scintillante,Guijarro de piedra brillante,Seixo Brilhante
4001,Great Glintstone Shard,グレートグリントストーンの破片,巨大的闪石碎片,거대한 글린스톤 파편,Большой блестящий осколок,Großer Glitzersteinsplitter,Grand éclat de pierre scintillante,Gran fragmento de piedra centelleante,Grande Fragmento de Glintstone
4010,Swift Glintstone Shard,スウィフト グリントストーンの破片,迅捷闪石碎片,날쌘 글린스톤 파편,Стремительный осколок блестящего камня,Schneller Glitzersteinsplitter,Éclat de pierre scintillante rapide,Fragmento de piedra brillante veloz,Fragmento de Glintstone Veloz
4020,Glintstone Cometshard,グリントストーン彗星シャード,闪石彗星碎片,글린트스톤 혜성조각,Глинстоун Кометшард,Glitzerstein-Kometensplitter,Éclat de comète en pierre scintillante,Piedra cometa brillante,Fragmento de Cometa Glintstone
4021,Comet,彗星,彗星,혜성,Комета,Komet,Comète,Cometa,Cometa
4030,Shard Spiral,シャードスパイラル,碎片螺旋,샤드 스파이럴,Осколочная спираль,Splitterspirale,Spirale d'éclat,Espiral de fragmento,Espiral de fragmentos
4040,Glintstone Stars,グリントストーンスターズ,闪烁之星,글린트스톤 스타즈,Глинстоунские звезды,Glintstone-Sterne,Étoiles scintillantes,Estrellas de destellos,Estrelas de Glintstone
4050,Star Shower,スターシャワー,星雨,스타샤워,Звездный душ,Sternendusche,Douche étoilée,Lluvia de estrellas,Chuveiro Estrela
4060,Crystal Barrage,クリスタルバラージ,水晶弹幕,수정 사격,Кристальный залп,Kristallsperrfeuer,Barrage de cristal,Aluvión de cristal,Barragem de Cristal
4070,Glintstone Arc,グリントストーンアーク,闪石弧线,글린트스톤 아크,Арка Глинстоуна,Glintstone-Bogen,Arc de pierre scintillante,Arco de piedra brillante,Arco de Pedra Cintilante
4080,Cannon of Haima,ハイマの大砲,海马大炮,하이마의 대포,Пушка Хаймы,Kanone von Haima,Canon de Haima,Cañón de Haima,Canhão de Haima
4090,Crystal Burst,クリスタルバースト,水晶爆裂,크리스탈 버스트,Кристальный взрыв,Kristallexplosion,Éclat de cristal,Explosión de cristal,Explosão de Cristal
4100,Shatter Earth,シャッターアース,粉碎地球,산산이 부서진 지구,Разрушить Землю,Zerschmettere die Erde,Briser la Terre,Destrozar la Tierra,Destruir a Terra
4110,Rock Blaster,ロックブラスター,岩石冲击波,락 블래스터,Рок Бластер,Rock-Blaster,Lance-pierre,Explosivo de roca,Rock Blaster
4120,Gavel of Haima,ハイマの小槌,海马木槌,하이마의 망치,Молот Хаймы,Hammer von Haima,Marteau d'Haima,Mazo de Haima,Martelo de Haima
4130,Terra Magicus,テラマジカス,魔法之地,테라 매지쿠스,Терра Магикус,Terra Magicus,Terra Magique,Tierra Mágica,Terra Mágica
4140,Starlight,スターライト,星光,별빛,Звездный свет,Sternenlicht,Lumière des étoiles,Luz de las estrellas,Luz das estrelas
4200,Comet Azur,アズール彗星,蔚蓝彗星,아주르 혜성,Комета Азур,Komet Azur,Comète Azur,Cometa Azur,Cometa Azur
4210,Found Rain of Stars,星の雨を見つけた,发现星雨,별의 비를 발견했습니다,Найден звездный дождь,Sternenregen gefunden,Trouvé une pluie d'étoiles,Lluvia de estrellas encontrada,Chuva de Estrelas Encontrada
4220,Stars of Ruin,破滅の星,毁灭之星,파멸의 별,Звезды разрушения,Sterne des Untergangs,Étoiles de la ruine,Estrellas de la ruina,Estrelas da Ruína
4300,Glintblade Phalanx,グリントブレード・ファランクス,闪刃方阵,번쩍이는 칼날 지골,Фаланга блестящих клинков,Glitzerklingen-Phalanx,Phalange de Lame scintillante,Falange de hoja centelleante,Falange da Lâmina Cintilante
4301,Carian Phalanx,カリアン・ファランクス,卡里安方阵,카리안 지골,Карийская фаланга,Karische Phalanx,Phalange carienne,Falange caria,Falange Cariana
4302,Greatblade Phalanx,グレートブレード ファランクス,巨刃方阵,대검 지골,Фаланга великого клинка,Großklingen-Phalanx,Phalange de la Grande Lame,Falange de gran espada,Falange da Grande Lâmina
4360,Rennala Full Moon,レンナラ満月,伦纳拉满月,레날라 보름달,Реннала Полнолуние,Rennala-Vollmond,Pleine Lune de Rennala,Luna llena de Rennala,Rennala Lua Cheia
4361,Ranni Dark Moon,ラニ・ダーク・ムーン,兰妮暗月,라니 다크 문,Ранни Темная Луна,Ranni Dark Moon,Ranni Lune Sombre,Ranni Luna Oscura,Ranni Lua Negra
4370,Magic Downpour,魔法の土砂降り,魔法倾盆大雨,마법의 호우,Волшебный ливень,Magischer Regenguss,Averse magique,Aguacero mágico,Chuva Mágica
4380,Loretta Greatbow,ロレッタ・グレートボウ,洛蕾塔巨弓,로레타 그레이트보우,Лоретта Грейтбоу,Loretta Greatbow,Loretta GrandArc,Loretta Gran Arco,Loretta Grande Arco
4381,Loretta Mastery,ロレッタマスタリー,洛蕾塔掌握,로레타 마스터리,Лоретта Мастери,Loretta-Meisterschaft,Maîtrise de Loretta,Maestría de Loreta,Maestria Loretta
4390,Magic Glintblade,マジックグリントブレード,魔法闪光之刃,마법의 반짝임칼날,Волшебный блестящий клинок,Magische Glitzerklinge,Lame scintillante magique,Hoja centelleante mágica,Lâmina Cintilante Mágica
4400,Glintstone Icecrag,グリントストーンの氷岩,闪石冰壁,글린트스톤 아이스크래그,Глинстомовый ледяной камень,Glitzerstein-Eisfelsen,Glacier de pierre scintillante,Risco de hielo de piedra centelleante,Gelo Pedra Cintilante
4410,Zamor Ice Storm,ザモールアイスストーム,扎莫尔冰风暴,자모르 아이스 스톰,Замор Ледяной Шторм,Zamor-Eissturm,Tempête de verglas Zamor,Tormenta de hielo de Zamor,Tempestade de gelo em Zamor
