ID,English,Japanese,Chinese,German,Spanish,Russian,Korean,Arabic
200000,Ash of War: Dryleaf Whirlwind,戦灰「落葉旋風脚」,战灰：落叶旋风脚,Kriegsasche: Trockenblatt-Wirbelwind,Ceniza de guerra: Remolino Hojaseca,Пепел Войны: Вихрь Сухих Листьев,전회 「낙엽 선풍각」,رﻣﺎد اﻟﺣﺭب: دواﻣﺔ اﻟﻭرﻗﺔ اﻟﺟﺎﻓﺔ
200100,Ash of War: Aspects of the Crucible: Wings,戦灰「坩堝の諸相・翼」,战灰：熔炉百相之羽,Kriegsasche: Aspekt des Schmelztiegels (Flügel),Ceniza de guerra: Apariencia del Crisol (Alas),Пепел Войны: Дар Горнила: крылья,전회 「도가니의 모습/날개」,رﻣﺎد اﻟﺣﺭب: ﺟﻭاﻧﺏ اﻟﺑﻭﺗﻘﺔ: أﺟﻧﺣﺔ
400000,Ash of War: Spinning Gravity Thrust,戦灰「重力回転突き」,战灰：重力旋刺,Kriegsasche: Wirbelnder Schwerkraftstoß,Ceniza de guerra: Embestida de rotación gravitatoria,Пепел Войны: Толчок гравитации,전회 「중력 회전 찌르기」,رﻣﺎد اﻟﺣﺭب: اﻧﺩﻓﺎع ﺟﺎذﺑﻳﺔ دوّار
401000,Ash of War: Palm Blast,戦灰「発勁」,战灰：发劲,Kriegsasche: Handexplosion,Ceniza de guerra: Palma explosiva,Пепел Войны: Удар ладонью,전회 「발경」,رﻣﺎد اﻟﺣﺭب: اﻧﻔﺟﺎر اﻟﻛﻑ
402000,Ash of War: Piercing Throw,戦灰「貫通投擲」,战灰：贯穿投掷,Kriegsasche: Durchbohrender Wurf,Ceniza de guerra: Lanzamiento perforante,Пепел Войны: Пронзающий бросок,전회 「관통 투척」,رﻣﺎد اﻟﺣﺭب: إﻟﻘﺎء اﻻﺧﺗﺭاق
403000,Ash of War: Scattershot Throw,戦灰「散弾投擲」,战灰：多重投掷,Kriegsasche: Streuschuss-Wurf,Ceniza de guerra: Lanzamiento de dispersión,Пепел Войны: Разброс,전회 「산탄 투척」,رﻣﺎد اﻟﺣﺭب: ﺿﺭﺑﺔ اﻹﻟﻘﺎء اﻟﻣﺗﻔﺭق
404000,Ash of War: Wall of Sparks,戦灰「囲む火花の香り」,战灰：四面火花香,Kriegsasche: Funkenwand,Ceniza de guerra: Muro de chispas,Пепел Войны: Стена искр,전회 「둘러싼 불꽃의 향기」,رﻣﺎد اﻟﺣﺭب: ﺟﺩار اﻟﺷﺭارات
405000,Ash of War: Rolling Sparks,戦灰「連なる火花の香り」,战灰：串联火花香,Kriegsasche: Rollende Funken,Ceniza de guerra: Chispas continuas,Пепел Войны: Фонтан искр,전회 「늘어선 불꽃의 향기」,رﻣﺎد اﻟﺣﺭب: اﻟﺷﺭارات اﻟﻣﺗﺄﺟﺟﺔ
406000,Ash of War: Raging Beast,戦灰「獣の急襲」,战灰：野兽突袭,Kriegsasche: Tobende Bestie,Ceniza de guerra: Bestia enfurecida,Пепел Войны: Бешеный зверь,전회 「짐승의 급습」,رﻣﺎد اﻟﺣﺭب: اﻟﻭﺣﺵ اﻟﺛﺎﺋﺭ
407000,Ash of War: Savage Claws,戦灰「獣爪撃」,战灰：野兽爪击,Kriegsasche: Wilde Klauen,Ceniza de guerra: Garras salvajes,Пепел Войны: Хищные когти,전회 「짐승 발톱 공격」,رﻣﺎد اﻟﺣﺭب: اﻟﻣﺧﺎﻟﺏ اﻟﻭﺣﺷﻳﺔ
