ID,English,Japanese,Chinese,German,Spanish,Russian,Korean,Arabic
3000000,Dane's Hat,ダンの帽子,丹恩帽子,Danes Hut,Sombrero de Dane,Шляпа Дейна,단의 모자,ﻗﺑﻌﺔ داﻳﻥ
3000100,Dryleaf Robe,落葉派のローブ,落叶派长袍,Trockenblatt-Robe,Túnica de Hojaseca,Одеяние Сухого Листа,낙엽파의 로브,رداء اﻟﻭرﻗﺔ اﻟﺟﺎﻓﺔ
3000200,Dryleaf Arm Wraps,落葉派の腕帯,落叶派腕套,Trockenblatt-Armwickel,Envolturas para los brazos de Hojaseca,Нарукавники Сухого Листа,낙엽파의 팔띠,ﻟﻔﺎﻓﺎت اﻟﻭرﻗﺔ اﻟﺟﺎﻓﺔ
3000300,Dryleaf Cuissardes,落葉派の長靴,落叶派长靴,Hohe Trockenblatt-Stiefel,Botas altas de Hojaseca,Ботфорты Сухого Листа,낙엽파의 부츠,ﺣﺫاء اﻟﻭرﻗﺔ اﻟﺟﺎﻓﺔ ﻓﻭق اﻟﺭﻛﺑﺔ
3001100,Dryleaf Robe (Altered),落葉派のローブ（軽装）,落叶派长袍（轻装）,Trockenblatt-Robe (Geänd.),Túnica de Hojaseca (modificada),Одеяние Сухого Листа (измен.),낙엽파의 로브(경장),رداء اﻟﻭرﻗﺔ اﻟﺟﺎﻓﺔ (ﻣُﻌﺩَل)
3010000,Gaius's Helm,ガイウスの兜,盖乌斯头盔,Gaius' Helm,Yelmo de Gaius,Шлем Гая,가이우스의 투구,ﺧﻭذة ﻏﺎﻳﻭس
3010100,Gaius's Armor,ガイウスの鎧,盖乌斯铠甲,Gaius' Rüstung,Armadura de Gaius,Доспех Гая,가이우스의 갑옷,واﻗﻲ ﻏﺎﻳﻭس
3010200,Gaius's Gauntlets,ガイウスの手甲,盖乌斯臂甲,Gaius' Stulpen,Guanteletes de Gaius,Перчатки Гая,가이우스의 장갑,ﻗﻔﺎزات ﻏﺎﻳﻭس اﻟﻭاﻗﻳﺔ
3010300,Gaius's Greaves,ガイウスの足甲,盖乌斯腿甲,Gaius' Beinschutz,Grebas de Gaius,Поножи Гая,가이우스의 각반,درﻋﺎ ﺳﺎق ﻏﺎﻳﻭس
5000000,Oathseeker Knight Helm,誓約騎士の兜,誓约骑士头盔,Eidesuchender Ritterhelm,Yelmo de Juramentista,Шлем рыцаря Клятвы,서약기사의 투구,ﺧﻭذة اﻟﻔﺎرس اﻟﺑﺎﺣﺙ ﻋﻥ اﻟﺣﻠﻑ
5000100,Leda's Armor,レダの鎧,蕾妲铠甲,Ledas Rüstung,Armadura de Leda,Доспех Леды,레다의 갑옷,واﻗﻲ ﻟﻳﺩا
5000200,Oathseeker Knight Gauntlets,誓約騎士の手甲,誓约骑士臂甲,Eidesuchender Ritterstulpen,Guanteletes de Juramentista,Перчатки рыцаря Клятвы,서약기사의 장갑,ﻗﻔﺎزات اﻟﻔﺎرس اﻟﺑﺎﺣﺙ ﻋﻥ اﻟﺣﻠﻑ
